ticker,company_name,cik,adsh,form,fy,fp,period_end,filed_at,revenue,operating_income,net_income,diluted_eps,operating_cash_flow,capex,net_margin,operating_margin,free_cash_flow
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-14-291724,10-Q,2014.0,Q2,2014-06-30,2014-08-01,49762000000.0,,6395000000.0,,11833000000.0,6093000000.0,0.12851171576705117,,5740000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-14-403605,10-Q,2014.0,Q3,2014-09-30,2014-11-07,51199000000.0,,4617000000.0,,24157000000.0,10172000000.0,0.09017754253012754,,13985000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-15-070966,10-K,2014.0,FY,2014-12-31,2015-03-02,194673000000.0,,19872000000.0,,32010000000.0,15185000000.0,0.10207887072167172,,16825000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-15-166595,10-Q,2015.0,Q1,2015-03-31,2015-05-01,48644000000.0,,5164000000.0,,5963000000.0,3447000000.0,0.10615903297426199,,2516000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-15-283231,10-Q,2015.0,Q2,2015-06-30,2015-08-07,51368000000.0,,4013000000.0,,13943000000.0,6836000000.0,0.07812256657841457,,7107000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-15-370187,10-Q,2015.0,Q3,2015-09-30,2015-11-06,58989000000.0,,9428000000.0,,24155000000.0,11803000000.0,0.15982640831341435,,12352000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-16-483023,10-K,2015.0,FY,2015-12-31,2016-02-29,210821000000.0,,24083000000.0,,31491000000.0,16082000000.0,0.11423435046793251,,15409000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-16-582004,10-Q,2016.0,Q1,2016-03-31,2016-05-06,52403000000.0,,5589000000.0,,7481000000.0,2843000000.0,0.10665419918706945,,4638000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-16-673492,10-Q,2016.0,Q2,2016-06-30,2016-08-05,54460000000.0,,5001000000.0,,15311000000.0,6144000000.0,0.09182886522218142,,9167000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-16-760194,10-Q,2016.0,Q3,2016-09-30,2016-11-04,59068000000.0,,7198000000.0,,25171000000.0,9429000000.0,0.12185955170312182,,15742000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-17-056969,10-K,2016.0,FY,2016-12-31,2017-02-27,223604000000.0,,24074000000.0,,32535000000.0,12954000000.0,0.10766354805817427,,19581000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-17-160889,10-Q,2017.0,Q1,2017-03-31,2017-05-05,65187000000.0,,4060000000.0,,18305000000.0,2355000000.0,0.062282356911654166,,15950000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-17-248832,10-Q,2017.0,Q2,2017-06-30,2017-08-04,57518000000.0,,4262000000.0,,26627000000.0,5149000000.0,0.07409854306477973,,21478000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-17-332829,10-Q,2017.0,Q3,2017-09-30,2017-11-03,60525000000.0,,4067000000.0,,37497000000.0,8411000000.0,0.06719537381247419,,29086000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-18-057033,10-K,2017.0,FY,2017-12-31,2018-02-26,242137000000.0,,44940000000.0,,45776000000.0,11708000000.0,0.18559740973085484,,34068000000.0
BRK.B,BERKSHIRE HATHAWAY INC,1067983,0001193125-18-153460,10-Q,2018.0,Q1,2018-03-31,2018-05-07,41509000000.0,,-1138000000.0,,7556000000.0,2589000000.0,-0.027415741164566722,,4967000000.0
